Run Date,Action,Symbol,Description,Type,Price ($),Quantity,Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
3/28/24,REINVESTMENT as of Mar-27-2024 VANGUARD DIVIDEND GROWTH INVESTOR CL (VDIGX) (Cash),VDIGX,VANGUARD DIVIDEND GROWTH INVESTOR CL,Cash,38.95,6.132,,,,-238.84,4216.32,
3/28/24,REINVESTMENT as of Mar-27-2024 VANGUARD DIVIDEND GROWTH INVESTOR CL (VDIGX) (Cash),VDIGX,VANGUARD DIVIDEND GROWTH INVESTOR CL,Cash,38.95,0.8,,,,-31.16,4455.16,
3/28/24,DIVIDEND RECEIVED as of Mar-27-2024 VANGUARD DIVIDEND GROWTH INVESTOR CL (VDIGX) (Cash),VDIGX,VANGUARD DIVIDEND GROWTH INVESTOR CL,Cash,,0,,,,31.16,4486.32,
3/28/24,DIVIDEND RECEIVED PUBLIC STORAGE OPER CO COM (PSA) (Cash),PSA,PUBLIC STORAGE OPER CO COM,Cash,,0,,,,62.18,4455.16,
3/28/24,REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,1,88.91,,,,-88.91,4392.98,
3/28/24,DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,,0,,,,88.91,4392.98,
3/28/24,LONG-TERM CAP GAIN as of Mar-27-2024 VANGUARD DIVIDEND GROWTH INVESTOR CL (VDIGX) (Cash),VDIGX,VANGUARD DIVIDEND GROWTH INVESTOR CL,Cash,,0,,,,238.84,4304.07,
3/27/24,DIVIDEND RECEIVED VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Cash),VOO,VANGUARD INDEX FUNDS S&P 500 ETF USD,Cash,,0,,,,341.14,4065.23,
3/27/24,DIVIDEND RECEIVED ISHARES TR U.S. MED DVC ETF (IHI) (Cash),IHI,ISHARES TR U.S. MED DVC ETF,Cash,,0,,,,6.88,3724.09,
3/26/24,DIVIDEND RECEIVED VANGUARD INDEX FDS VANGUARD VALUE ET... (VTV) (Cash),VTV,VANGUARD INDEX FDS VANGUARD VALUE ETF F,Cash,,0,,,,131.95,3717.21,
3/22/24,DIVIDEND RECEIVED INVESCO EXCHANGE TRADED FD TR S&P500... (RSP) (Cash),RSP,INVESCO EXCHANGE TRADED FD TR S&P500 EQ,Cash,,0,,,,40.96,3585.26,
3/14/24,DIVIDEND RECEIVED MICROSOFT CORP (MSFT) (Cash),MSFT,MICROSOFT CORP,Cash,,0,,,,14.15,3544.3,
3/14/24,YOU BOUGHT TOPBUILD CORP COM (BLD) (Cash),BLD,TOPBUILD CORP COM,Cash,409.77,19,,,,-7785.63,3530.15,3/18/24
3/14/24,YOU BOUGHT TOPBUILD CORP COM (BLD) (Cash),BLD,TOPBUILD CORP COM,Cash,410.9,0.521,,,,-214.08,11315.78,3/18/24
3/14/24,YOU BOUGHT SNOWFLAKE INC. COMMON STOCK (SNOW) (Cash),SNOW,SNOWFLAKE INC. COMMON STOCK,Cash,161.04,62,,,,-9984.47,11529.86,3/18/24
3/14/24,YOU BOUGHT SNOWFLAKE INC. COMMON STOCK (SNOW) (Cash),SNOW,SNOWFLAKE INC. COMMON STOCK,Cash,161.04,0.096,,,,-15.46,21514.33,3/18/24
3/14/24,YOU BOUGHT AMAZON.COM INC (AMZN) (Cash),AMZN,AMAZON.COM INC,Cash,178.36,28,,,,-4994.04,21529.79,3/18/24
3/14/24,YOU BOUGHT AMAZON.COM INC (AMZN) (Cash),AMZN,AMAZON.COM INC,Cash,178.36,0.033,,,,-5.89,26523.83,3/18/24
3/14/24,YOU BOUGHT ALPHABET INC CAP STK CL A (GOOGL) (Cash),GOOGL,ALPHABET INC CAP STK CL A,Cash,142.3,70,,,,-9961,26529.72,3/18/24
3/14/24,YOU BOUGHT ALPHABET INC CAP STK CL A (GOOGL) (Cash),GOOGL,ALPHABET INC CAP STK CL A,Cash,142.3,0.274,,,,-38.99,36490.72,3/18/24
3/14/24,YOU BOUGHT FLUTTER ENTERTAINMENT PLC ORD EUR0.0... (FLUT) (Cash),FLUT,FLUTTER ENTERTAINMENT PLC ORD EUR0.09 (,Cash,222.77,35,,,,-7796.95,36529.71,3/18/24
3/14/24,YOU BOUGHT FLUTTER ENTERTAINMENT PLC ORD EUR0.0... (FLUT) (Cash),FLUT,FLUTTER ENTERTAINMENT PLC ORD EUR0.09 (,Cash,223.08,0.91,,,,-203,44326.66,3/18/24
3/13/24,YOU SOLD VANGUARD WORLD FD UTILITIES ETF (VPU) (Cash),VPU,VANGUARD WORLD FD UTILITIES ETF,Cash,138.8,-0.759,,,,105.35,44529.66,3/15/24
3/13/24,YOU SOLD VANGUARD WORLD FD UTILITIES ETF (VPU) (Cash),VPU,VANGUARD WORLD FD UTILITIES ETF,Cash,138.82,-32,,0.04,,4442.32,44424.31,3/15/24
3/13/24,YOU SOLD ISHARES INC MSCI GBL GOLD MN (RING) (Cash),RING,ISHARES INC MSCI GBL GOLD MN,Cash,24.23,-0.063,,,,1.53,39981.99,3/15/24
3/13/24,YOU SOLD ISHARES INC MSCI GBL GOLD MN (RING) (Cash),RING,ISHARES INC MSCI GBL GOLD MN,Cash,24.29,-213,,0.05,,5173.72,39980.46,3/15/24
3/5/24,REDEMPTION PAYOUT UNITED STATES TREAS BILLS ZERO CPN 0.00000% 03/05/2024 (Cash),912797JG3,UNITED STATES TREAS BILLS ZERO CPN 0.00000% 03/05/2024,Cash,1,-5000,,,,5000,34806.74,
2/29/24,REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,1,18.42,,,,-18.42,29806.74,
2/29/24,DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,,0,,,,18.42,29806.74,
2/27/24,REDEMPTION PAYOUT UNITED STATES TREAS BILLS ZERO CPN 0.00000% 02/27/2024 (Cash),912797JF5,UNITED STATES TREAS BILLS ZERO CPN 0.00000% 02/27/2024,Cash,1,-28000,,,,28000,29788.32,
2/23/24,DIVIDEND RECEIVED SCHWAB CHARLES CORP COM (SCHW) (Cash),SCHW,SCHWAB CHARLES CORP COM,Cash,,0,,,,23.05,1788.32,
2/1/24,DIVIDEND RECEIVED FREEPORT-MCMORAN INC COM USD0.10 (FCX) (Cash),FCX,FREEPORT-MCMORAN INC COM USD0.10,Cash,,0,,,,29.37,1765.27,
1/31/24,REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,1,7.25,,,,-7.25,1735.9,
1/31/24,DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,,0,,,,7.25,1735.9,
1/11/24,FOREIGN TAX PAID TAIWAN SEMICONDUCTOR MANUFACTURING S... (TSM) (Cash),TSM,TAIWAN SEMICONDUCTOR MANUFACTURING SPON,Cash,,0,,,,-11.29,1728.65,
1/11/24,DIVIDEND RECEIVED TAIWAN SEMICONDUCTOR MANUFACTURING S... (TSM) (Cash),TSM,TAIWAN SEMICONDUCTOR MANUFACTURING SPON,Cash,,0,,,,53.76,1739.94,
