Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
0.06%,WEC,WEC ENERGY GROUP INC,--,"$45,377.28 ",432
0.06%,PCG,P G & E CORP,--,"$45,165.12 ","2,912"
0.06%,CPRT,COPART INC,--,"$45,102.39 ","1,181"
0.06%,XYL,XYLEM INC,--,"$45,035.89 ",323
0.06%,HUM,HUMANA INC,--,"$44,009.60 ",160
0.06%,FITB,FIFTH THIRD BANCORP,--,"$43,072.92 ",876
0.06%,KMB,KIMBERLY-CLARK CORP,--,"$42,926.40 ",440
0.06%,MTB,M & T BANK CORP,--,"$42,538.65 ",203
0.06%,KVUE,KENVUE INC,--,"$42,486.12 ","2,538"
0.06%,IBKR,INTERACTIVE BROKERS GRO-CL A,--,"$42,090.60 ",590
0.06%,WTW,WILLIS TOWERS WATSON PLC,--,"$42,085.26 ",127
0.05%,DG,DOLLAR GENERAL CORP,--,"$41,761.41 ",291
0.05%,SYF,SYNCHRONY FINANCIAL,--,"$41,704.11 ",477
0.05%,VRSK,VERISK ANALYTICS INC,--,"$40,627.85 ",185
0.05%,ODFL,OLD DOMINION FREIGHT LINE,--,"$40,269.96 ",243
0.05%,MTD,METTLER-TOLEDO INTERNATIONAL,--,"$39,713.49 ",27
0.05%,HPE,HEWLETT PACKARD ENTERPRISE,--,"$39,207.64 ","1,748"
0.05%,VICI,VICI PROPERTIES INC,--,"$39,024.96 ","1,416"
0.05%,IR,INGERSOLL-RAND INC,--,"$38,713.08 ",476
0.05%,ULTA,ULTA BEAUTY INC,--,"$38,666.24 ",59
0.05%,RJF,RAYMOND JAMES FINANCIAL INC,--,"$38,479.95 ",233
0.05%,EME,EMCOR GROUP INC,--,"$38,407.23 ",59
0.05%,HBAN,HUNTINGTON BANCSHARES INC,--,"$37,803.76 ","2,084"
0.05%,NRG,NRG ENERGY INC,--,"$37,674.23 ",253
0.05%,EXR,EXTRA SPACE STORAGE INC,--,"$37,620.28 ",281
0.05%,ADM,ARCHER-DANIELS-MIDLAND CO,--,"$37,335.76 ",638
0.05%,DOV,DOVER CORP,--,"$36,287.16 ",182
0.05%,BIIB,BIOGEN INC,--,"$36,260.54 ",194
0.05%,DXCM,DEXCOM INC,--,"$36,241.70 ",517
0.05%,NTRS,NORTHERN TRUST CORP,--,"$35,655.00 ",250
0.05%,AEE,AMEREN CORPORATION,--,"$35,566.13 ",359
0.05%,TPR,TAPESTRY INC,--,"$35,492.87 ",271
0.05%,CBOE,CBOE GLOBAL MARKETS INC,--,"$35,467.24 ",139
0.05%,DTE,DTE ENERGY COMPANY,--,"$35,399.76 ",276
